Reference,Institution_Name,Address_1,Postcode,Email,Institution_Type,Latitude,Longitude,Pupil_Teacher_Ratio,Number_Pupils_2015
3010726,Dunseverick Primary School,215 WHITEPARK ROAD,BT57 8SR,info@dunseverickps.bushmills.ni.sch.uk,Primary school,55.22594,-6.45539,19.61,113
3016249,Earlview Primary School,2 MANSE DRIVE,BT36 5US,info@earlviewps.newtownabbey.ni.sch.uk,Primary school,54.68913,-5.95654,21.02,192
3AA0108,Early Days Country Playgroup,67 Garryduff Road,BT53 7DB,,VP Pre-schools,55.05151,-6.47706,,0
4BB0172,Early Days Playgroup,Ballymagee Primary School,BT19 6ZG,,VP Pre-schools,54.64566,-5.63473,,0
1CA0411,Early Learners Day Nursery,30 Lower Windsor Avenue,BT9 1DX,info@earlylearnersdaynursery.com,VP Pre-schools,54.5797,-5.94826,,0
5AB0213,Earlybird Pre-School,Jenny's Row,BT61 9AP,earlybird2012@hotmail.co.uk,VP Pre-schools,54.34873,-6.65263,,0
2010382,Ebrington Controlled Primary School,12 ULSTERVILLE AVENUE,BT47 6EU,info@ebrington.londonderry.ni.sch.uk,Primary school,54.99713,-7.30448,24.13,392
3010785,Eden Primary School,LARNE ROAD,BT38 7NL,info@edenps.carrickfergus.ni.sch.uk,Primary school,54.72849,-5.77508,26.9,209
3010796,Eden Primary School,33 VOW ROAD,BT53 7PB,info@eden.ballymoney.ni.sch.uk,Primary school,55.03063,-6.56329,18.2,72
1010323,Edenbrooke Primary School,230 TENNENT STREET,BT13 3GG,info@edenbrooke.belfast.ni.sch.uk,Primary school,54.60966,-5.95421,17.25,263
1110003,Edenderry Nursery School,4-22 UPPER RIGA STREET,BT13 3GW,info@edenderryns.belfast.ni.sch.uk,Nursery school,54.6054,-5.95585,26,0
5110021,Edenderry Nursery School,PRINCESS WAY,BT63 5EP,info@edenderryns.portadown.ni.sch.uk,Nursery school,54.42269,-6.4159,26,0
5011189,Edenderry Primary School,PRINCESS WAY,BT63 5EP,info@edenderry.portadown.ni.sch.uk,Primary school,54.42297,-6.41591,20.05,378
5013019,Edenderry Primary School,1A LURGAN ROAD,BT32 4AF,info@edenderry.banbridge.ni.sch.uk,Primary school,54.355,-6.26863,21.37,407
5032585,Edendork Primary School,181 COALISLAND ROAD,BT71 4DP,info@edendork.dungannon.ni.sch.uk,Primary school,54.52954,-6.73795,24.31,316
3230203,Edmund Rice College,96-100 HIGHTOWN ROAD,BT36 7AU,info@edmundricecollege.glengormley.ni.sch.uk,Secondary (non-grammar) school,54.66655,-5.96845,15.26,592
2012638,Edwards Primary School,26 HOSPITAL ROAD,BT81 7HY,info@edwards.castlederg.ni.sch.uk,Primary school,54.71104,-7.58981,22.3,196
2AB0051,Eglinton Community Pre-School Centre,Unit 4 Benbow Estate,BT47 3DW,,VP Pre-schools,55.02818,-7.16752,,0
2012245,Eglinton Primary School,22 WOODVALE ROAD,BT47 3AH,info@eglinton.londonderry.ni.sch.uk,Primary school,55.02477,-7.18154,23.96,191
1010255,Elmgrove Primary School,289 BEERSBRIDGE ROAD,BT5 4RS,info@elmgrove.belfast.ni.sch.uk,Primary school,54.5908,-5.89035,19.12,639
2066549,Enniskillen Integrated Primary School,2 DERRYGORE ROAD DRUMCOO,BT74 4FH,info@enniskillenintegrated.enniskillen.ni.sch.uk,Primary school,54.35907,-7.64108,22.32,291
2016152,Enniskillen Model Primary School,5 CASTLECOOLE ROAD,BT74 6HZ,info@enniskillenmodel.enniskillen.ni.sch.uk,Primary school,54.34186,-7.6252,25.71,437
2116608,Enniskillen Nursery,29B DUBLIN ROAD,BT74 6HH,info@enniskillenns.enniskillen.ni.sch.uk,Nursery school,54.34285,-7.62889,25.9,0
2012617,Erganagh Primary School,7 LISTYMORE ROAD,BT81 7JG,info@erganagh.castlederg.ni.sch.uk,Primary school,54.71816,-7.55202,15.67,47
2260280,Erne Integrated College,5A DERRYGORE ROAD DRUMCOO,BT74 4FY,info@ernecollege.enniskillen.ni.sch.uk,Secondary (non-grammar) school,54.36125,-7.63835,12.32,414
1010146,Euston Street Primary School,163 EUSTON STREET,BT6 9AG,info@eustonstreet.belfast.ni.sch.uk,Primary school,54.58806,-5.89842,20.63,278
5016599,Fair Hill Primary School,4 TULLYNISKEY ROAD,BT25 2PJ,info@fairhill.kinallen.ni.sch.uk,Primary school,54.3803,-6.0741,24.28,309
3016414,Fairview Primary School,25 HILLMOUNT AVENUE,BT39 9HS,info@fairviewps.ballyclare.ni.sch.uk,Primary school,54.7547,-6.00974,21.31,522
1016205,Fane Street Primary School,FANE STREET,BT9 7BW,info@fanestreet.belfast.ni.sch.uk,Primary school,54.58526,-5.94985,14.78,200
2033706,Faughanvale Primary School,3 VALE ROAD,BT47 3EE,info@faughanvale.derry.ni.sch.uk,Primary school,55.03392,-7.10138,28.43,199
1010806,Finaghy Primary School,38 FINAGHY ROAD SOUTH,BT10 0DR,info@finaghy.belfast.ni.sch.uk,Primary school,54.55943,-5.98179,24.2,421
2AB0293,First Steps Children's Centre,1 Munie Road,BT81 7QJ,,VP Pre-schools,54.67804,-7.62048,,0
4CA0612,First Steps Day Nursery,Ward 15,BT28 1JP,,VP Pre-schools,54.50518,-6.04397,,0
4CA0638,First Steps Day Nursery,Ulster Hospital,BT16 1RH,,VP Pre-schools,54.59582,-5.81262,,0
1AB0321,First Steps Playgroup,Horn Drive Community Centre,BT11 9GS,eilishmcc@googlemail.com,VP Pre-schools,54.56961,-6.01041,,0
3AB0118,First Steps Playgroup,St Joseph's Early Years Centre,BT43 6JE,,VP Pre-schools,54.88073,-6.28079,,0
5210097,Fivemiletown College,51 COLEBROOK ROAD,BT75 0SB,nfo@college.fivemiletown.ni.sch.uk,Secondary (non-grammar) school,54.3759,-7.32289,16.01,396
5116198,Fivemiletown Nursery School,166A BALLAGH ROAD,BT75 0QP,info@fmtns.fivemiletown.ni.sch.uk,Nursery school,54.37857,-7.31181,27,0
5016088,Fivemiletown Primary School,166 BALLAGH ROAD,BT75 0QP,info@fivemiletownps.fivemiletown.ni.sch.uk,Primary school,54.37884,-7.31113,20.78,187
1310012,Fleming Fulton Special School,35 UPPER MALONE ROAD,BT9 6TY,info@ffs.belfast.ni.sch.uk,Special school,54.55731,-5.96605,4.85,0
2011881,Florencecourt Primary School,Drumlaghy Two,BT92 1BZ,info@florencecourt.enniskillen.ni.sch.uk,Primary school,54.26583,-7.71574,19.96,93
1AB0610,Flutterbies Playgroup,The Centre,BT6 9EQ,flutterbiespg@gmail.com,VP Pre-schools,54.58459,-5.89857,,0
5010909,Foley County Primary School,60 BALLYMACNAB ROAD,BT60 2QS,info@foley.tassagh.ni.sch.uk,Primary school,54.27581,-6.61327,15.67,47
5AB0397,Forever Friends Cross-Community Playgroup,Gortgonis Citizen's Centre,BT71 4QG,foreverfriendspg@hotmail.co.uk,VP Pre-schools,54.53562,-6.69604,,0
1BB0491,Forge Integrated Playgroup,20 Carolan Road,BT7 3HE,scherry156@c2kni.net,VP Pre-schools,54.56922,-5.91808,,0
1056535,Forge Integrated Primary School,20 CAROLAN ROAD,BT7 3HE,info@forge.belfast.ni.sch.uk,Primary school,54.56922,-5.91808,22.43,332
5AB0401,Forkhill Pre-School Playgroup,Community Centre,BT35 9SZ,forkhillplaygroup@gmail.com,VP Pre-schools,54.08498,-6.45563,,0
4250072,Fort Hill College,BELFAST ROAD,BT27 4TL,info@forthill.lisburn.ni.sch.uk,Secondary (non-grammar) school,54.51541,-6.03148,13.52,854
4053308,Fort Hill Integrated Primary School,LOW ROAD,BT27 4TJ,info@forthillips.lisburn.ni.sch.uk,Primary school,54.51593,-6.03339,23.58,208
1010205,Forth River Primary School,100 CAIRNMARTIN ROAD,BT13 3PQ,info@forthriver.belfast.ni.sch.uk,Primary school,54.61293,-5.97142,21.66,208
2016564,Fountain Primary School,18 HAWKIN STREET,BT48 6RE,info@fountainps.londonderry.ni.sch.uk,Primary school,54.99326,-7.32287,19.81,81
3010891,Fourtowns Primary School,59 CULLYBACKEY ROAD,BT42 1LA,info@fourtownsps.ahoghill.ni.sch.uk,Primary school,54.8542,-6.36705,23.17,292
2420229,Foyle College,122 NORTHLAND ROAD,BT48 0AW,info@foylecollege.derry.ni.sch.uk,Secondary (grammar) school,55.01287,-7.33562,15.63,822
4620050,Friend's School,6 MAGHERALAVE ROAD,BT28 3BH,info@friends.lisburn.ni.sch.uk,Preparatory Schools,54.51717,-6.04595,21.08,166
4420050,Friends' School,6 MAGHERALAVE ROAD,BT28 3BH,info@friends.lisburn.ni.sch.uk,Secondary (grammar) school,54.51736,-6.04544,16.55,989
1620022,Fullerton House Preparatory School,1 MALONE ROAD,BT9 6BY,info@fullertonhouse.belfast.ni.sch.uk,Preparatory Schools,54.58388,-5.94271,17.26,147
2240319,Gaelchol??iste Dhoire,Dungiven Castle,BT47 4LF,info@gcd.doire.ni.sch.uk,Secondary (non-grammar) school,54.92481,-6.92116,4.17,15
3046653,Gaelscoil an Chaistil,5 BOTHAR AN HAITHE,BT54 6QQ,info@bunscoilanchaistil.baileanchaistil.ni.sch.uk,Primary school,55.19764,-6.25607,15.43,83
1046672,Gaelscoil an Lonnain,61 Falls Road,BT12 4PD,info@gaelscoilanlonnain.belfast.ni.sch.uk,Primary school,54.598,-5.95341,13.5,54
3046691,Gaelscoil an tSeancha??,40 Meeting Street,BT45 6BW,info@gaelscoilantseanchai.magherafelt.ni.sch.uk,Primary school,54.75379,-6.60427,17.86,99
5046695,Gaelscoil Aodha Rua,97 Donaghmore Road,BT70 1HD,info@gaelscoilaodharua.dungannon.ni.sch.uk,Primary school,54.50889,-6.77811,19.13,88
2046646,Gaelscoil Eadain Mhoir,128 LECKY ROAD,BT48 6NP,info@gaelscoileadainmhoir.derry.ni.sch.uk,Primary school,54.99263,-7.33075,18.65,112
3046685,Gaelscoil Eanna,C/O St Enda's GAA,BT36 7AU,info@gaelscoileanna.glengormley.ni.sch.uk,Primary school,54.66259,-5.97056,18.37,158
5046699,Gaelscoil Eoghain,32A Chapel Street,BT80 8QD,info@gaelscoileoghain.cookstown.ni.sch.uk,Primary school,54.64152,-6.74296,13.4,54
3046684,Gaelscoil Ghleann Darach,15 Glenavy Road,BT29 4LA,info@gsghleanndarach.crumlin.ni.sch.uk,Primary school,54.61612,-6.22492,15.4,77
2046689,Gaelscoil Leim an Mhadaidh,57 Church Street,BT49 0BX,info@gaelscoil.limavady.ni.sch.uk,Primary school,55.05116,-6.94322,16.19,68
1046571,Gaelscoil Na Bhfal,34A IVEAGH CRESCENT,BT12 6AW,info@gaelscoilnabhfal.belfast.ni.sch.uk,Primary school,54.58999,-5.96154,17.36,162
2046687,Gaelscoil na Daroige,Corr??n U?? Nuall??in,BT48 0ND,info@gaelscoilnadaroige.derry.ni.sch.uk,Primary school,55.02146,-7.34477,14.88,67
2046677,Gaelscoil na gCrann,DUN ULADH CULTURAL HERITAGE CENTRE,BT79 0GZ,info@gaelscoilnagcrann.anomaigh.ni.sch.uk,Primary school,54.6004,-7.25446,18.72,120
5046692,Gaelscoil na mBeann,139a Newcastle Road,BT34 4NL,info@gaelscoilnambeann.kilkeel.ni.sch.uk,Primary school,54.07313,-5.98079,15.33,46
1046671,Gaelscoil na Mona,1 MONAGH LINK,BT11 8QB,info@gaelscoilnamona.belfast.ni.sch.uk,Primary school,54.58617,-5.99312,14.57,102
3046678,Gaelscoil na Sp??ir??n??,82 Sixtowns Road,BT45 7BB,info@gsnaspeirini.magherafelt.ni.sch.uk,Primary school,54.82181,-6.84075,15.31,49
2016700,Gaelscoil Neachtain,8 Chapel Road,BT47 4RF,info@gaelscoil.dungiven.ni.sch.uk,Primary school,54.92248,-6.91373,17.2,86
2046638,Gaelscoil U?? Dhochartaigh,115A BALLYCOLMAN ESTATE,BT82 9AQ,info@gaelscoiluidhochartaigh.ansrathban.ni.sch.uk,Primary school,54.81981,-7.45892,15.9,133
5046637,Gaelscoil U?? Neill,104 WASHINGBAY ROAD,BT71 4PU,info@gaelscoil.coalisland.ni.sch.uk,Primary school,54.53529,-6.67621,21.22,161
2116336,Galliagh Nursery School,1 HEATHER ROAD,BT48 8NX,info@galliaghns.derry.ni.sch.uk,Nursery school,55.03209,-7.32465,22,0
3010594,Garryduff Primary School,133 GARRYDUFF ROAD,BT53 7DR,info@garryduffps.ballymoney.ni.sch.uk,Primary school,55.0343,-6.45373,17.26,72
3BB0266,Garvagh Pre-School Playgroup,Garvagh Primary School,BT51 5HP,,VP Pre-schools,54.98559,-6.68427,,0
3016119,Garvagh Primary School,1 COLERAINE ROAD,BT51 5HP,info@garvaghps.garvagh.ni.sch.uk,Primary school,54.98559,-6.68427,18.7,83
2016089,Gibson Primary School,64 OLD MOUNTFIELD ROAD,BT79 7EG,info@gibson.omagh.ni.sch.uk,Primary school,54.60565,-7.29229,18.75,300
5CA0549,Giggles Day Care Centre,103 Camlough Road,BT35 7EE,gigglesearlyyears@gmail.com,VP Pre-schools,54.18521,-6.39001,,0
5011596,Gilford Primary School,CASTLE HILL,BT63 6HH,info@craigavonps.gilford.ni.sch.uk,Primary school,54.37556,-6.35987,17.45,69
2012648,Gillygooley Primary School,71 GILLYGOOLEY ROAD,BT78 5PX,info@gillygooleyps.omagh.ni.sch.uk,Primary school,54.61183,-7.37551,12.73,27
4011606,Gilnahirk Primary School,148 GILNAHIRK ROAD,BT5 7QQ,info@ghirkps.belfast.ni.sch.uk,Primary school,54.58391,-5.8401,26.89,427
4016681,Glasswater Primary School,6 John Street,BT30 9EG,info@glasswaterps.crossgar.ni.sch.uk,Primary school,54.39676,-5.75754,17.15,99
4210046,Glastry College,14 VICTORIA ROAD,BT22 1DQ,info@glastry.newtownards.ni.sch.uk,Secondary (non-grammar) school,54.48793,-5.47683,15.99,630
3030708,Glenann Primary School,8 GLENANN ROAD,BT44 0TG,info@glenannps.cushendall.ni.sch.uk,Primary school,55.09204,-6.09012,15.79,60
3AB0133,Glenarm Community Pre-School,Glenarm Orange Hall,BT44 0AU,,VP Pre-schools,54.96702,-5.9519,,0
1110007,Glenbank Nursery School,LIGONIEL ROAD,BT14 8BW,info@glenbankns.belfast.ni.sch.uk,Nursery school,54.62606,-5.97987,26,0
4116307,Glenbrook Nursery School,33 GLENARD ROAD,BT23 4HS,info@glenbrookns.newtownards.ni.sch.uk,Nursery school,54.59844,-5.69821,26,0
4BB0175,Glencraig Integrated Playgroup,Glencraig Integrated PS,BT18 0DJ,,VP Pre-schools,54.66197,-5.76818,,0
4053020,Glencraig Integrated Primary School,34 SEAHILL ROAD,BT18 0DJ,info@glencraigps.holywood.ni.sch.uk,Primary school,54.66197,-5.76818,23.67,213
2032212,Glendermott Primary School,50 ARDMORE ROAD,BT47 3QZ,info@glendermottps.derry.ni.sch.uk,Primary school,54.96621,-7.26746,21.88,114
1116074,Glendhu Nursery School,GLENDHU MANOR,BT4 2RJ,info@glendhuns.belfast.ni.sch.uk,Nursery school,54.61536,-5.85986,26,0
3210202,Glengormley High School,134 BALLYCLARE ROAD,BT36 5HP,info@glengormleyhigh.newtownabbey.ni.sch.uk,Secondary (non-grammar) school,54.6785,-5.96272,14.01,790
3050791,Glengormley Integrated Primary School,166 CHURCH ROAD,BT36 6HJ,info@glengormleyps.newtownabbey.ni.sch.uk,Primary school,54.67067,-5.95589,24.12,337
3BB0094,Glengormley IPS Playgroup,Glengormley Primary School,BT36 6HJ,,VP Pre-schools,54.67067,-5.95589,,0
4410097,Glenlola Collegiate,2 VALENTINE ROAD,BT20 4TH,info@glenlolacollegiate.bangor.ni.sch.uk,Secondary (grammar) school,54.65387,-5.66207,16.32,1044
5AB0212,Glenn & Barr Playgroup,24 School Road,BT34 1SX,glennbarrplaygroup@hotmail.com,VP Pre-schools,54.23249,-6.33532,,0
3AB0241,Gleno Pre-School,Young Farmers Hall,BT40 3LG,,VP Pre-schools,54.79788,-5.83316,,0
3AB0362,Glenravel Community Playgroup,143a Glenravel Road,BT43 6RA,,VP Pre-schools,54.98464,-6.18775,,0
1316569,Glenveagh Special School,HARBERTON PARK,BT9 6TX,info@glenveagh.belfast.ni.sch.uk,Special school,54.55939,-5.96326,6.37,0
3AB0084,Glenview Pre-School Centre,National Hall,BT46 5AP,,VP Pre-schools,54.8458,-6.67785,,0
1016485,Glenwood Primary School,4-22 UPPER RIGA STREET,BT13 3GW,info@glenwood.belfast.ni.sch.uk,Primary school,54.6054,-5.95585,19.07,530
3010808,Glynn Primary School,26 MAIN ROAD,BT40 3HF,info@glynnps.larne.ni.sch.uk,Primary school,54.82795,-5.81264,15.36,86
4136286,Good Shepherd Nursery School,11 GOOD SHEPHERD ROAD,BT17 0PL,info@goodshepherdns.belfast.ni.sch.uk,Nursery school,54.56775,-6.02607,28.89,0
2036288,Good Shepherd Primary School and Nursery School,42 DUNGIVEN ROAD,BT47 6BW,info@goodshepherd.derry.ni.sch.uk,Primary school,54.99312,-7.30714,22.8,371
3016055,Gorran Primary School,2 GORRAN ROAD,BT51 4HA,info@gorranps.coleraine.ni.sch.uk,Primary school,55.02671,-6.68226,19.77,87
2016395,Gortin Primary School,9 CULVACULLION ROAD,BT79 8QB,info@gortinps.omagh.ni.sch.uk,Primary school,54.71919,-7.23504,17.33,52
3AB0111,Gracehill and Galgorm Playgroup,Community Centre,BT42 1GQ,,VP Pre-schools,54.85838,-6.32304,,0
3010794,Gracehill Primary School,19 CHURCH ROAD,BT42 2NL,info@gracehillps.ballymena.ni.sch.uk,Primary school,54.85357,-6.32949,25.08,414
3AB0115,Gran Tots Playgroup,15d Main Street,BT46 5QB,,VP Pre-schools,54.90989,-6.66669,,0
4013045,Grange Park Primary School,GRANGE PARK,BT20 3QG,info@grangeparkps.bangor.ni.sch.uk,Primary school,54.65765,-5.6873,26.59,409
5031589,Grange Primary School,20 LURGANCONARY ROAD,BT34 4LL,info@grange.kilkeel.ni.sch.uk,Primary school,54.0398,-6.05646,20.19,105
2AB0315,Green Elves Playgroup,Old School House,BT79 7QP,,VP Pre-schools,54.68992,-7.08058,,0
3CA0588,Greendale Day Nursery,633 Antrim Road,BT36 4RF,,VP Pre-schools,54.68641,-5.99696,,0
3BB0086,Greengables Playgroup,Central Primary School,BT38 8AL,,VP Pre-schools,54.7167,-5.81217,,0
2016071,Greenhaw Primary School,CARNHILL ESTATE,BT48 8BA,info@greenhaw.londonderry.ni.sch.uk,Primary school,55.02262,-7.31651,20.13,250
3010817,Greenisland Primary School,UPPER STATION ROAD,BT38 8RA,info@greenislandps.carrickfergus.ni.sch.uk,Primary school,54.70127,-5.87385,26.12,397
3AB0129,Greenlough Early Years,St Oliver Plunkett Hall,BT44 8NN,,VP Pre-schools,54.86922,-6.5115,,0
3032275,Greenlough Primary School (St Mary's),220 MAYOGALL ROAD,BT44 8NN,info@stmarysps.greenlough.ni.sch.uk,Primary school,54.8674,-6.5191,23.16,176
1310017,Greenwood House Assessment Centre,10 GREENWOOD AVENUE,BT4 3JJ,info@greenwood.belfast.ni.sch.uk,Special school,54.59634,-5.86151,8,0
1010304,Greenwood Primary School,436-456 UPPER NEWTOWNARDS ROAD,BT4 3HS,info@greenwoodps.belfast.ni.sch.uk,Primary school,54.59561,-5.8611,24.7,261
4011300,Grey Abbey Primary School,3 THE SQUARE,BT22 2QA,info@greyabbeyps.newtownards.ni.sch.uk,Primary school,54.53444,-5.56123,17.83,90
2AB0060,Greysteel Playgroup,St Columbas Walk,BT47 3TS,,VP Pre-schools,55.03233,-7.11504,,0
3016037,Greystone Primary School,56 GREYSTONE ROAD,BT41 1JW,info@greystoneps.antrim.ni.sch.uk,Primary school,54.71275,-6.18921,21.51,185
2052035,Groarty Primary School,17 COSHQUIN ROAD,BT48 0ND,info@groartyps.londonderry.ni.sch.uk,Primary school,55.02366,-7.34662,11.25,36
3010822,Groggan Primary School,179 PORTGLENONE ROAD,BT41 3EU,info@grogganps.randalstown.ni.sch.uk,Primary school,54.77964,-6.35978,20.66,115
4AB0537,Groomsport Playgroup,Orange Hall,BT19 6LY,,VP Pre-schools,54.67204,-5.61473,,0
1410079,Grosvenor Grammar School,50 Marina Park,BT5 6BA,info@grosvenor.belfast.ni.sch.uk,Secondary (grammar) school,54.58358,-5.87609,16.77,1087
4AB0145,Grove Community Playgroup,Grove Activity Centre,BT28 1ST,,VP Pre-schools,54.50995,-6.07098,,0
5016179,Hamiltonsbawn Primary School,113 ANNAREAGH ROAD,BT61 9SA,info@hamiltonsbawnps.hamiltonsbawn.ni.sch.uk,Primary school,54.34399,-6.54389,19.38,93
3AB0274,Hansel and Gretel Pre-School,Glynn Village Hall,BT40 3HF,,VP Pre-schools,54.82789,-5.8119,,0
3AB0102,Happitots Playgroup,37 Elmwood,BT43 5PY,,VP Pre-schools,54.89202,-6.35258,,0
5AB0187,Happy Days Playgroup,29B School Lane,BT71 4NW,happydaysplaygroup@outlook.com,VP Pre-schools,54.54557,-6.70714,,0
5AB0462,Happy Days Playgroup (Newry),Meadow Armagh Road Community Centre,BT35 6ET,pmcd.happydays@gmail.com,VP Pre-schools,54.18385,-6.34615,,0
5CA0599,Happy Faces Daycare Nursery,3 Silverbridge Road,BT35 9LE,fiona@happyfacesnursery.com,VP Pre-schools,54.07253,-6.54105,,0
2BB0449,Happy Faces Playgroup,83a Bellspark Road,BT82 9QY,,VP Pre-schools,54.79361,-7.53068,,0
4BB0637,Happy Feet Pre-School,St Marys Primary School,BT23 5AP,,VP Pre-schools,54.54745,-5.74206,,0
5AB0647,Happy Tots Playgroup,36 Edward Street,BT62 3NE,happytots36@hotmail.co.uk,VP Pre-schools,54.421,-6.44187,,0
1310014,Harberton Special School,HARBERTON PARK,BT9 6TX,info@harberton.belfast.ni.sch.uk,Special school,54.56037,-5.9644,7.92,0
3AB0123,Harbour Bears Pre-School,Curran Park Bowling Pavilion,BT40 1BS,,VP Pre-schools,54.85147,-5.80759,,0
1010232,Harding Memorial Primary School,105 - 107 CREGAGH ROAD,BT6 8PZ,info@hardingmemorial.belfast.ni.sch.uk,Primary school,54.58296,-5.8987,21.45,207
5011112,Hardy Memorial Primary School,22 THE NEW LINE,BT61 9QR,info@hardymemorial.richhill.ni.sch.uk,Primary school,54.37027,-6.54847,26.06,381
4013305,Harmony Hill Primary School,50 HARMONY HILL,BT27 4ES,info@harmonyhillps.lisburn.ni.sch.uk,Primary school,54.52512,-6.03486,22.73,581
1016604,Harmony Primary School,FORTHRIVER CRESCENT,BT13 3SY,info@harmony.belfast.ni.sch.uk,Primary school,54.61503,-5.98215,16.88,181
3016052,Harpurs Hill Primary School,BALLYCASTLE ROAD,BT52 2ER,info@harpurshillps.coleraine.ni.sch.uk,Primary school,55.13528,-6.65181,16.76,201
5116190,Harrison Nursery School,LOWER TOBERHEWNEY LANE,BT66 8SU,info@harrisonns.lurgan.ni.sch.uk,Nursery school,54.45364,-6.32773,24.6,0
3010781,Harryville Primary School,CASEMENT STREET,BT42 4BY,info@harryvilleps.ballymena.ni.sch.uk,Primary school,54.85906,-6.27207,19.53,85
5011129,Hart Memorial Primary School,CHARLES STREET,BT62 4BD,info@hartmemorial.portadown.ni.sch.uk,Primary school,54.42327,-6.45876,26.62,367
3016444,Hazelbank Primary School,20 HAZELBANK ROAD,BT42 4LP,info@hazelbankps.ballymena.ni.sch.uk,Primary school,54.90336,-6.11121,18.79,109
1260269,Hazelwood College,70 WHITEWELL ROAD,BT36 7ES,info@hazelwood.belfast.ni.sch.uk,Secondary (non-grammar) school,54.64696,-5.92753,14.25,900
1066531,Hazelwood Primary School,242 WHITEWELL ROAD,BT36 7EN,info@hazelwoodintegratedps.belfast.ni.sch.uk,Primary school,54.65425,-5.93293,23.74,418
4CA0653,Helping Hands Daycare,6 Tullynacross Road,BT27 5SP,,VP Pre-schools,54.52776,-6.02267,,0
3012229,Hezlett Primary School,1 BALLYWOOLEN ROAD,BT51 4TZ,info@hezlettps.coleraine.ni.sch.uk,Primary school,55.15344,-6.78388,24.3,233
3AB0363,High Kirk Community Playgroup,65-71 Thomas Street,BT43 6AZ,,VP Pre-schools,54.87181,-6.27754,,0
3BB0655,Hilcroft Special School (pre-school),3 Manse Way,BT36 5UW,,VP Pre-schools,54.68982,-5.95485,,0
3316510,Hill Croft Special School,3 MANSE WAY,BT36 5UW,info@hillcroftsp.newtownabbey.ni.sch.uk,Special school,54.68982,-5.95485,6.48,0
1CA0633,Hillcrest Pre-School,14 Annadale Avenue,BT7 3JH,admin@hillcrestdaynursery.co.uk,VP Pre-schools,54.56754,-5.91567,,0
3BB0654,Hollybank Pre-School,c/o Hollybank Primary School,BT37 0HF,,VP Pre-schools,54.68656,-5.90863,,0
3016038,Hollybank Primary School,DEVENISH DRIVE,BT37 0HF,info@hollybankps.newtownabbey.ni.sch.uk,Primary school,54.68656,-5.90863,17.76,135
2036533,Hollybush Primary School,10 ARDAN ROAD,BT48 8JN,info@hollybush.derry.ni.sch.uk,Primary school,55.05228,-7.26714,22.86,383
1136316,Holy Child Nursery School,40 SLIEVEGALLION DRIVE,BT11 8JP,info@holychildns.belfast.ni.sch.uk,Nursery school,54.57524,-5.99465,26,0
1036576,Holy Child Primary School,5 SOUTH GREEN,BT11 8JF,info@holychild.belfast.ni.sch.uk,Primary school,54.57722,-5.99206,22.34,541
2030381,Holy Child Primary School,4 CENTRAL DRIVE,BT48 9QQ,info@holychild.derry.ni.sch.uk,Primary school,54.99564,-7.34541,21.33,203
1030194,Holy Cross Boys' Primary School,BROOKFIELD STREET,BT14 7EX,info@holycrossboys.belfast.ni.sch.uk,Primary school,54.61437,-5.95909,18.25,427
2230301,Holy Cross College,35 Melmount Road,BT82 9EF,info@holycrosscollege.strabane.ni.sch.uk,Secondary (non-grammar) school,54.81553,-7.47589,15.18,1539
1030331,Holy Cross Girls' Primary School,ARDOYNE ROAD,BT14 7HZ,info@holycrossgirls.belfast.ni.sch.uk,Primary school,54.6203,-5.96865,16.9,169
1136360,Holy Cross Nursery School,BUTLER WALK,BT14 7NZ,info@holycrossns.belfast.ni.sch.uk,Nursery school,54.61471,-5.95848,26,0
1AB0006,Holy Cross Pre-School Playgroup,3 Flax Street,BT14 7EL,holycrosspreschool@hotmail.co.uk,VP Pre-schools,54.61436,-5.95655,,0
5031694,Holy Cross Primary School,6 ATTICAL BOG ROAD,BT34 4HT,info@holycross.kilkeel.ni.sch.uk,Primary school,54.10961,-6.04327,21.07,118
4036702,Holy Evangelist Primary School,Glasvey Drive,BT17 9PA,info@evangelistsps.belfast.ni.sch.uk,Primary school,54.55613,-6.02117,18.5,497
1036566,Holy Family Primary School,14 NEWINGTON AVENUE,BT15 2HP,info@holyfamily.belfast.ni.sch.uk,Primary school,54.6161,-5.93558,18.91,435
2036472,Holy Family Primary School,3 AILEACH ROAD,BT48 0AZ,info@holyfamilyps.derry.ni.sch.uk,Primary school,55.01816,-7.34537,21.74,426
2036674,Holy Family Primary School,Brookmount Road,BT78 5HZ,info@holyfamily.omagh.ni.sch.uk,Primary school,54.60144,-7.31296,24.75,387
3036562,Holy Family Primary School,1A CASTLEDAWSON ROAD,BT45 6AX,info@holyfamilyps.magherafelt.ni.sch.uk,Primary school,54.75645,-6.60174,23.38,535
5032714,Holy Family Primary School Aughamullan,88 COOLE ROAD,BT71 5DR,info@aughamullan.dungannon.ni.sch.uk,Primary school,54.53919,-6.62238,21,63
1136289,Holy Rosary Nursery School,SUNNYSIDE CRESCENT,BT7 3DB,info@holyrosaryns.belfast.ni.sch.uk,Nursery school,54.57504,-5.92491,26,0
1030327,Holy Rosary Primary School,70 SUNNYSIDE CRESCENT,BT7 3DB,info@holyrosary.belfast.ni.sch.uk,Primary school,54.57518,-5.92439,18.6,450
5230278,Holy Trinity College,CHAPEL STREET,BT80 8QB,info@holytrinityc.cookstown.ni.sch.uk,Secondary (non-grammar) school,54.64178,-6.74498,15.75,1024
